source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD017199-Sample-26	Homo sapiens	breast	Invasive breast carcinoma of no special type	BT483	CVCL_2319	cell line	23Y	adult	not available	not available	Female	2	cell line	run2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/171227_MT_53_BT483_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	2	171227_MT_53_BT483_B.raw	BT483
PXD017199-Sample-27	Homo sapiens	breast	Invasive breast carcinoma of no special type	BT483	CVCL_2319	cell line	23Y	adult	not available	not available	Female	3	cell line	run2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/171227_MT_54_BT483_C.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	2	171227_MT_54_BT483_C.raw	BT483
PXD017199-Sample-28	Homo sapiens	breast	Invasive breast carcinoma of no special type	BT549	CVCL_1092	cell line	72Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_118_BT549_A_3.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_118_BT549_A_3.raw	BT549
PXD017199-Sample-29	Homo sapiens	breast	Invasive breast carcinoma of no special type	BT549	CVCL_1092	cell line	72Y	adult	not available	not available	Female	2	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_119_BT549_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_119_BT549_B.raw	BT549
PXD017199-Sample-30	Homo sapiens	breast	Invasive breast carcinoma of no special type	BT549	CVCL_1092	cell line	72Y	adult	not available	not available	Female	3	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_120_BT549_C.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_120_BT549_C.raw	BT549
PXD017199-Sample-31	Homo sapiens	breast	Breast carcinoma	CAL120	CVCL_1104	cell line	43Y	adult	not available	not available	Female	1	cell line	run2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/171227_MT_58_CAL120_A.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	2	171227_MT_58_CAL120_A.raw	CAL120
PXD017199-Sample-32	Homo sapiens	breast	Breast carcinoma	CAL120	CVCL_1104	cell line	43Y	adult	not available	not available	Female	2	cell line	run2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/171227_MT_59_CAL120_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	2	171227_MT_59_CAL120_B.raw	CAL120
PXD017199-Sample-33	Homo sapiens	breast	Breast carcinoma	CAL120	CVCL_1104	cell line	43Y	adult	not available	not available	Female	3	cell line	run2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/171227_MT_60_CAL120_C.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	2	171227_MT_60_CAL120_C.raw	CAL120
PXD017199-Sample-34	Homo sapiens	breast	Breast carcinoma	CAL148	CVCL_1106	cell line	58Y	adult	not available	not available	Female	1	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_148_CAL148_A.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_148_CAL148_A.raw	CAL148
PXD017199-Sample-35	Homo sapiens	breast	Breast carcinoma	CAL148	CVCL_1106	cell line	58Y	adult	not available	not available	Female	2	cell line	run1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	25 NCE	NT=HCD;AC=MS:1000422	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017199/180501_MT_149_CAL148_B.raw	0.02 Da	350m/z-1500m/z	150m/z-2000m/z	10 ppm	1	180501_MT_149_CAL148_B.raw	CAL148
