source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[associated file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD004701-Sample-6	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt474	CVCL_0179	cell line	60Y	adult	not available	not available	Female	1	cell line	run21	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR185.wiff	guot_L160226_BR185.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR185.wiff	bt474
PXD004701-Sample-6	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt474	CVCL_0179	cell line	60Y	adult	not available	not available	Female	2	cell line	run22	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR209.wiff	guot_L160226_BR209.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR209.wiff	bt474
PXD004701-Sample-6	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt474	CVCL_0179	cell line	60Y	adult	not available	not available	Female	3	cell line	run23	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR68.wiff	guot_K160125_sw_BR68.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR68.wiff	bt474
PXD004701-Sample-6	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt474	CVCL_0179	cell line	60Y	adult	not available	not available	Female	4	cell line	run24	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR153.wiff	guot_K160125_sw_BR153.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR153.wiff	bt474
PXD004701-Sample-7	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt483	CVCL_2319	cell line	23Y	adult	not available	not available	Female	1	cell line	run25	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR195.wiff	guot_L160226_BR195.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR195.wiff	bt483
PXD004701-Sample-7	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt483	CVCL_2319	cell line	23Y	adult	not available	not available	Female	2	cell line	run26	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR210.wiff	guot_L160226_BR210.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR210.wiff	bt483
PXD004701-Sample-7	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt483	CVCL_2319	cell line	23Y	adult	not available	not available	Female	3	cell line	run27	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR69.wiff	guot_K160125_sw_BR69.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR69.wiff	bt483
PXD004701-Sample-7	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt483	CVCL_2319	cell line	23Y	adult	not available	not available	Female	4	cell line	run28	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_K160125_sw_BR154.wiff	guot_K160125_sw_BR154.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_K160125_sw_BR154.wiff	bt483
PXD004701-Sample-8	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt549	CVCL_1092	cell line	72Y	adult	not available	not available	Female	1	cell line	run29	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR206.wiff	guot_L160226_BR206.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR206.wiff	bt549
PXD004701-Sample-8	Homo sapiens	breast	Invasive breast carcinoma of no special type	bt549	CVCL_1092	cell line	72Y	adult	not available	not available	Female	2	cell line	run30	proteomic profiling by mass spectrometry	NT=TripleTOF 5600;AC=MS:1000932	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/guot_L160226_BR211.wiff	guot_L160226_BR211.wiff.scan	20 ppm	400m/z-1200m/z	100m/z-2000m/z	20 ppm	1	guot_L160226_BR211.wiff	bt549
