source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[time]
PXD034623-M2-Gal1-5m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 50	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_6_5mg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_6_5mg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-Gal1-5m-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 51	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_7_5mg3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_7_5mg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-PBS-5m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 52	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_8_5mp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_8_5mp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-PBS-5m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 53	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_9_5mp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_9_5mp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-PBS-5m-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 54	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_10_5mp3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_10_5mp3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-Gal1-0m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 55	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_11_0mg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_11_0mg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	0 min
PXD034623-M2-Gal1-0m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 56	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_12_0mg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_12_0mg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	0 min
PXD034623-M2-Gal1-12h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 57	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_13_12hg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_13_12hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 58	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_14_12hg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_14_12hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 59	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_15_12hg3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_15_12hg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-PBS-12h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 60	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_16_12hp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_16_12hp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	12 hours
PXD034623-M2-PBS-12h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 61	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_17_12hp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_17_12hp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	12 hours
PXD034623-M2-PBS-0m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 62	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_18_0mp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_18_0mp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	0 min
PXD034623-M2-PBS-0m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 63	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_19_0mp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_19_0mp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	0 min
