source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
MSV000093870-SC-0025	homo sapiens	ovary	not applicable	not applicable	oocyte	25	cell	wAP0030_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0030.raw	oocyte
MSV000093870-SC-0026	homo sapiens	ovary	not applicable	not applicable	oocyte	26	cell	wAP0030_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0030.raw	oocyte
MSV000093870-SC-0027	homo sapiens	ovary	not applicable	not applicable	oocyte	27	cell	wAP0030_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0030.raw	oocyte
MSV000093870-SC-0028	homo sapiens	ovary	not applicable	not applicable	oocyte	28	cell	wAP0031_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0031.raw	oocyte
MSV000093870-SC-0029	homo sapiens	ovary	not applicable	not applicable	oocyte	29	cell	wAP0031_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0031.raw	oocyte
MSV000093870-SC-0030	homo sapiens	ovary	not applicable	not applicable	oocyte	30	cell	wAP0031_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0031.raw	oocyte
MSV000093870-SC-0031	homo sapiens	ovary	not applicable	not applicable	oocyte	31	cell	wAP0032_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0032.raw	oocyte
MSV000093870-SC-0032	homo sapiens	ovary	not applicable	not applicable	oocyte	32	cell	wAP0032_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0032.raw	oocyte
MSV000093870-SC-0033	homo sapiens	ovary	not applicable	not applicable	oocyte	33	cell	wAP0032_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0032.raw	oocyte
MSV000093870-SC-0034	homo sapiens	ovary	not applicable	not applicable	oocyte	34	cell	wAP0033_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0033.raw	oocyte
